daaa,dus3mt,dum7599,year,month,month2,paneldate
-0.03,0.11,1,1995,7,06-Mar,1995m7
-0.06,0.16,1,1995,8,06-Mar,1995m8
-0.15,-0.25,1,1995,9,06-Mar,1995m9
0.04,-0.2,1,1995,10,06-Mar,1995m10
0.05,-0.1,1,1995,11,06-Mar,1995m11
-0.19,-0.2,1,1995,12,06-Mar,1995m12
-0.14,-0.01,1,1996,1,06-Jun,1996m1
-0.15,0.18,1,1996,2,06-Jun,1996m2
0.09,0.36,1,1996,3,06-Jun,1996m3
0.03,0.15,1,1996,4,06-Jul,1996m4
0.03,0.12,1,1996,5,06-Jul,1996m5
0.09,0.09,1,1996,6,06-Jul,1996m6
0.06,-0.06,1,1996,7,06-Jul,1996m7
-0.08,-0.19,1,1996,8,06-Jul,1996m8
0.06,0.2,1,1996,9,06-Jul,1996m9
-0.14,-0.27,1,1996,10,06-Jul,1996m10
0.02,-0.29,1,1996,11,06-Jul,1996m11
-0.16,0.1,1,1996,12,06-Jul,1996m12
0.18,0.22,1,1997,1,06-Oct,1997m1
-0.05,-0.11,1,1997,2,06-Oct,1997m2
0.14,0.24,1,1997,3,06-Oct,1997m3
0.03,0.18,1,1997,4,06-Oct,1997m4
-0.04,-0.15,1,1997,5,06-Oct,1997m5
-0.21,-0.17,1,1997,6,06-Oct,1997m6
0.15,-0.27,1,1997,7,06-Oct,1997m7
0.06,0.08,1,1997,8,06-Oct,1997m8
-0.16,-0.07,1,1997,9,06-Oct,1997m9
-0.02,-0.15,1,1997,10,06-Oct,1997m10
0.2,-0.13,1,1997,11,06-Oct,1997m11
0.01,-0.11,1,1997,12,06-Oct,1997m12
-0.07,-0.15,1,1998,1,07-Jan,1998m1
0.02,0.06,1,1998,2,07-Jan,1998m2
-0.08,0.05,1,1998,3,07-Jan,1998m3
-0.03,-0.03,1,1998,4,07-Jan,1998m4
0.03,0,1,1998,5,07-Jan,1998m5
-0.04,-0.16,1,1998,6,07-Jan,1998m6
-0.03,0.02,1,1998,7,07-Jan,1998m7
-0.02,-0.03,1,1998,8,07-Jan,1998m8
-0.2,-0.12,1,1998,9,07-Jan,1998m9
-0.66,-0.03,1,1998,10,07-Jan,1998m10
0.36,0.04,1,1998,11,07-Jan,1998m11
-0.02,-0.19,1,1998,12,07-Jan,1998m12
-0.08,0.02,1,1999,1,07-Apr,1999m1
0.11,0.16,1,1999,2,07-Apr,1999m2
0.03,0.22,1,1999,3,07-Apr,1999m3
-0.2,0.02,1,1999,4,07-Apr,1999m4
0.23,0.29,1,1999,5,07-Apr,1999m5
0.08,0.3,1,1999,6,07-Apr,1999m6
0.01,-0.04,1,1999,7,07-Apr,1999m7
0.16,0.21,1,1999,8,07-May,1999m8
-0.03,-0.01,1,1999,9,07-May,1999m9
0.15,0.16,1,1999,10,07-May,1999m10
0.19,-0.19,1,1999,11,07-May,1999m11
0.16,0.19,1,1999,12,07-May,1999m12
